Date,Content,Comment
2024-07-05,https://boxd.it/6Nye4D,La vdd 🤧🤧
2025-05-27,https://boxd.it/9OuFVT,Had the same experience as you lol. Fuck that guy
2024-05-25,https://boxd.it/7nG3G,up from the poppy hill deserved better smh
